Makanan,Karbohidrat,Protein,Sayur,Pengolahan
Pecak Lele,Tidak ada,Ikan dan Seafood,Ya,Goreng atau tumis
Pepes Peda,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Pempek Kapal Selam,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Rebus atau kukus
Sambal Udang Goreng Petai,Tidak ada,Ikan dan Seafood,Ya,Goreng atau tumis
Udang Bakar Madu,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar
Gulai Aceh Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Kerapu Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Tim Ikan Kakap,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Kapurung,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Rebus atau kukus
Ikan Tongkol Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Pindang Tongkol Balado,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Asam Padeh Ikan Patin,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Cumi Asam Manis Basah,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Udang Goreng Mentega,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Sarden Homemade,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Garang Asem Ikan,Tidak ada,Ikan dan Seafood,Ya,Rebus atau kukus
Arsik Ikan Mas,Tidak ada,Ikan dan Seafood,Ya,Rebus atau kukus
Ikan Asap Santan,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Palumara Bandeng,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Asam Padeh Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Semur Bandeng,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Balado Ikan Kembung,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Abon Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Ikan Kakap Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Otak-Otak Goreng,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Udang Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Abon Tuna,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Pempek Adaan,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Rebus atau kukus
Pepes Ikan Mas Khas Sunda,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Woku Belanga,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Gulai Ikan Tenggiri,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Mujair Bakar Kecap,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar
Ikan Gurame Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Udang Saos Tiram,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Pecel Lele,Tidak ada,Ikan dan Seafood,Ya,Goreng atau tumis
Sambal Goreng Kering Teri Kacang,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Pesmol Ikan Nila,Tidak ada,Ikan dan Seafood,Tidak,Lainnya
Ikan Bandeng Presto,Tidak ada,Ikan dan Seafood,Tidak,Lainnya
Ikan Kembung Goreng Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Cumi Goreng Tepung (Calamari),"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Cumi Saus Padang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Udang Goreng Tepung (Ebi Furai),"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Pepes Ikan Kembung,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Pepes Ikan Teri Basah,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Pecak Gurame,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Kepiting Saus Tiram,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Bandeng Acar Kuning,Tidak ada,Ikan dan Seafood,Ya,Rebus atau kukus
Cumi Telur Asin,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Cumi Saus Tiram,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Celimpungan,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Rebus atau kukus
Kerang Hijau Saus Tiram Pedas,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Asem Asem Bandeng,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Udang Telur Asin,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Mangut Lele,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Sup Ikan Patin,Tidak ada,Ikan dan Seafood,Ya,Rebus atau kukus
Cumi Bakar Kecap,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar
Ikan Patin Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Fish and Chips,Lainnya,Ikan dan Seafood,Tidak,Goreng atau tumis
Pindang Patin,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Gulai Kepala Ikan Kakap,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Steak Ikan Dori Panggang Saus Lemon,Lainnya,Ikan dan Seafood,Ya,Panggang atau bakar
Cumi Asin Cabe Hijau,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Kotokan Ikan Pe Lombok Ijo,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Nila Bakar,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar
Nasi Bakar Tuna Pedas,Beras dan olahannya,Ikan dan Seafood,Ya,Panggang atau bakar
Amplang Krupuk Ikan,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Kepiting Lada Hitam,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Fish Cake,Beras dan olahannya,Ikan dan Seafood,Tidak,Goreng atau tumis
Ikan Tongkol Bumbu Sarden,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Pindang Bandeng,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Kembung Bakar Padang,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar
Kepiting Asam Manis,Tidak ada,Ikan dan Seafood,Ya,Goreng atau tumis
Sop Ikan Salmon,Tidak ada,Ikan dan Seafood,Ya,Rebus atau kukus
Kerang Saus Padang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Tumis Cumi Hitam,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Gulai Telur Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Oncom Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Keripik Tempe,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Okonomiyaki,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis
Keripik Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Telur Gulung Sosis,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Sayur Tahu Kuah Kuning,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Tempe Teriyaki,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Nasi Telur Pontianak,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Telur Bacem,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Papeda Gulung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Opor Telur,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Bola Bola Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Telur Geprek,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Pempek Dos (Tanpa Ikan),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Telur Balado,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Sambal Tempe,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tahu Walik,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tahu Cabe Garam,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tahu Petis,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Telur Petis,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Orak Arik Telur Sayuran,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Omelet Mie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Pepes Telur Ikan,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Tahu Lontong,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Omelet Telur,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Kupat Tahu Magelang,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Tahu Teriyaki,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Pepes Telur Asin,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Tahu Jeletot,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Egg Roll Korea,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Chawanmushi,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Mun Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Tahu Isi,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis
Telur Bumbu Bali,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Tahu Bakso,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Perkedel Tahu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Fuyunghai,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Tahu Tek Surabaya,Lainnya,"Tahu, tempe, dan telur",Ya,Lainnya
Tahu Bulat,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Martabak Tahu,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Tempe Mendoan Purwokerto,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Sapo Tahu,Tidak ada,"Tahu, tempe, dan telur",Ya,Lainnya
Tahu Gejrot,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya
Tahu Rambutan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Perkedel Tempe,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tahu Kukus,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Bacem Tahu Tempe,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya
Telur Kecap,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tahu Putih Goreng Garing,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tahu Telur,Tidak ada,"Tahu, tempe, dan telur",Ya,Lainnya
Pepes Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Telur Dadar Padang,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Tahu Aci Tegal,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Sate Telur Puyuh,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Telur Pindang,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Semur Telur,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Tahu Sarang Burung,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya
Tempe Penyet,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Nugget Tahu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Rendang Telur,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya
Tahu Fantasi,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Semur Telur Puyuh,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Sambal Tumpang,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Telur Puyuh Balado,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Sayur Tempe Tahu Cabe Hijau,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tahu Guling,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya
Tahu Gimbal Udang,Tidak ada,Lainnya,Ya,Lainnya
Tahu Bubuk,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya
Tumis Buncis Tempe,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Salad Sayur,Tidak ada,Tidak ada,Ya,Lainnya
Pecel Madiun,Tidak ada,"Tahu, tempe, dan telur",Ya,Lainnya
Coleslaw,Tidak ada,Tidak ada,Ya,Lainnya
Oseng Pare Telur,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Nasi Tim Sayuran,Beras dan olahannya,Ayam dan daging,Ya,Lainnya
Oseng Tempe Cabe Ijo,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tumis Telur Tauge,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Tumis Lobak Putih,Lainnya,Lainnya,Ya,Goreng atau tumis
Sayur Krecek,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ratatouille,Tidak ada,"Tahu, tempe, dan telur",Ya,Lainnya
Tumis Rebung,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Lontong Tahu Khas Blora,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya
Terong Goreng,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Terong Balado,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Tumis Pakis,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Asinan Betawi,Tidak ada,Tidak ada,Ya,Lainnya
Capcay Goreng Jawa,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis
Rendang Jamur,Tidak ada,Lainnya,Tidak,Lainnya
Tumis Brokoli Kembang Kol,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Tumis Cuciwis Saus Tiram,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Buntil Daun Pepaya,Tidak ada,Lainnya,Ya,Lainnya
Sayur Asem Jawa Timur,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Sayur Bening Sawi,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Sayur Pepaya Muda,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Ote Ote,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis
Beberuk Terong,Tidak ada,Tidak ada,Ya,Lainnya
Sayur Asem Jakarta,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Lontong Sayur Betawi,Beras dan olahannya,Tidak ada,Ya,Lainnya
Oseng Tempe Toge,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Oseng Tahu Tempe Kecap,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Oseng Labu Siam,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Oseng Tempe Pare,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Kimchi,Tidak ada,Tidak ada,Ya,Lainnya
Nugget Sayur,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis
Gulai Pakis,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Sayur Rebung Santan,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Brambang Asem,Lainnya,Tidak ada,Ya,Goreng atau tumis
Toge Goreng Bogor,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Lainnya
Semur Terong,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Gado Gado Padang,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya
Tumis Genjer,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Tahu Tauco,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tempe Mendol,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Perkedel Daging,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis
Rolade Tahu Daun Singkong,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Lainnya
Kangkung Saus Tiram,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Kangkung Tauco,Tidak ada,Lainnya,Ya,Goreng atau tumis
Bakwan Tahu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis
Tumis Pakcoy,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Kering Kentang Tempe Pedas,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Urap Bali,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Semur Jengkol Betawi,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Onion Rings,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Gudeg Asli Jogja Komplit (Gudeg Kering),Tidak ada,Ayam dan daging,Ya,Lainnya
Kering Tempe (Orek Tempe),Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Lontong Sayur Padang,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Urap Sayur,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Plecing Kangkung,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Tumis Bunga Pepaya,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Mashed Potato,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Sayur Nangka Kapau,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Perkedel Kentang,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Sayur Lodeh,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Tempe Balado,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis
Kangkung Belacan,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Pepes Jamur,Tidak ada,Lainnya,Ya,Rebus atau kukus
Ketoprak,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Bakwan Udang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Goreng atau tumis
Tumis Jamur,Tidak ada,Lainnya,Ya,Goreng atau tumis
Tumis Capcay,Tidak ada,Lainnya,Ya,Goreng atau tumis
Tumis Jantung Pisang,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Lodeh Terong Santan,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Botok,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Acar Timun,Tidak ada,Tidak ada,Ya,Lainnya
Tumis Pare,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Tumis Bokcoy,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Sayur Asem Jawa Tengah,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Sayur Bobor Bayam,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Pecel Sayur,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Karedok,Tidak ada,Tidak ada,Ya,Lainnya
Tumis Oncom Leunca (Ulukutek Leunca),Tidak ada,Lainnya,Ya,Goreng atau tumis
Tumis Labu Siam,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Tumis Buncis Udang,Tidak ada,Ikan dan Seafood,Ya,Goreng atau tumis
Salad Buah (Fruit),Tidak ada,Tidak ada,Tidak,Lainnya
Bakwan Dadar Jagung,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis
Gado Gado Betawi,Lainnya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Bakwan Sayur (Bala Bala),"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis
Tumis Baby Kailan,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Sayur Asem Sunda,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Jamur Krispi,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Rendang Jengkol,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Burgo,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya
Sayur Oyong Bening Soun,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Sayur Bayam Bening,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Jengkol Balado,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Gulai Daun Singkong,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Pecel Terong,Tidak ada,Tidak ada,Ya,Lainnya
Jamur Enoki Krispi Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Rujak Es Krim,Tidak ada,Lainnya,Tidak,Lainnya
Tumis Kacang Panjang,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Rujak Cingur,Beras dan olahannya,Ayam dan daging,Ya,Rebus atau kukus
Tumis Sawi Putih,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Semur Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Terong Bakar,Tidak ada,Tidak ada,Ya,Panggang atau bakar
Trancam,Tidak ada,Tidak ada,Ya,Lainnya
Tumis Kembang Turi Teri,Tidak ada,Ikan dan Seafood,Ya,Goreng atau tumis
Tumis Tauge,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Tumis Jamur Kancing,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Sayur Katuk Kuah Santan,Tidak ada,Tidak ada,Ya,Rebus atau kukus
Tumis Kangkung,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Sambal Oncom,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya
Sambal Cumi,Tidak ada,Ikan dan Seafood,Tidak,Lainnya
Sambal Soto,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Tuk Tuk,Tidak ada,Ikan dan Seafood,Tidak,Lainnya
Sambal Nanas,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Pencok Kacang Panjang,Tidak ada,Lainnya,Ya,Lainnya
Sambal Belut,Tidak ada,Lainnya,Tidak,Lainnya
Sambal Pecak,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Embe,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Dabu Dabu,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Kemangi,Tidak ada,Tidak ada,Ya,Lainnya
Sambal Bajak,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Lalapan,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Kencur,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Pecel,Tidak ada,Lainnya,Tidak,Lainnya
Sambal Tahu Goreng,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Sambal Bada,Tidak ada,Ikan dan Seafood,Tidak,Lainnya
Sambal Petis,Tidak ada,Lainnya,Tidak,Lainnya
Sambal Matah Kecombrang,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Korek,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Terong,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Sambal Bawang,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Teri,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Sambal Tomat,Tidak ada,Tidak ada,Tidak,Goreng atau tumis
Sambal Ijo,Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Cibiuk,Tidak ada,Tidak ada,Ya,Lainnya
Sambal Pete,Tidak ada,Tidak ada,Ya,Goreng atau tumis
Sambal Kecap,Tidak ada,Lainnya,Tidak,Lainnya
Sambal Mangga Muda (Pencit),Tidak ada,Tidak ada,Tidak,Lainnya
Sambal Terasi,Tidak ada,Ikan dan Seafood,Tidak,Lainnya
Balado Kentang,Tidak ada,Tidak ada,Tidak,Goreng atau tumis
Sambal Goang,Tidak ada,Tidak ada,Ya,Lainnya
Sambal Tempoyak Udang,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Spaghetti Brulee,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Nasi Daun Jeruk,Beras dan olahannya,Lainnya,Ya,Rebus atau kukus
Indomie Seblak,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Mie Tek Tek Kuah,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya
Mie Goreng Basah,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya
Kimbab,Beras dan olahannya,Lainnya,Ya,Lainnya
Nasi Mandhi,Beras dan olahannya,Lainnya,Tidak,Rebus atau kukus
Bola Bola Mie,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Ketupat,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Nasi Ayam Semarang,Beras dan olahannya,Ayam dan daging,Tidak,Rebus atau kukus
Nasi Tiwul,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Risotto,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Mie Goreng Nyemek,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya
Bubur Korea (Dakjuk),Beras dan olahannya,Ayam dan daging,Tidak,Rebus atau kukus
Nasi Gemuk,Beras dan olahannya,Lainnya,Ya,Lainnya
Nasi Tomat,Beras dan olahannya,Lainnya,Tidak,Lainnya
Mie Kuah Ikan Bangka,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Rebus atau kukus
Mie Sagu Kuah,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Cwie Mie Malang,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Pad Thai,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis
Nasi Goreng Nanas Khas Thailand,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Nasi Padang,Beras dan olahannya,Lainnya,Ya,Lainnya
Jajangmyeon,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Nasi Kapau,Beras dan olahannya,Lainnya,Tidak,Lainnya
Mie Ayam Bangka,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Macaroni Cheese (Mac n cheese),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar
Spaghetti Rendang,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Mie Cakalang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Rebus atau kukus
